"","income","age","marital_status","hours_per_week","education","capital_gain","capital_loss","income_num","career_stage","marital_status_group","hours_group","education_group","has_investment_activity"
"155","<=50K",48,"Married-civ-spouse",46,"HS-grad",0,0,"0","Peak-earning","Married","Overtime","HS-some-college","No"
"170","<=50K",27,"Never-married",40,"HS-grad",0,1980,"0","Entry-level","Never-married","Full-time","HS-some-college","Yes"
"174",">50K",28,"Married-civ-spouse",40,"Bachelors",0,0,"1","Entry-level","Married","Full-time","Bachelors","No"
"178","<=50K",18,"Never-married",12,"HS-grad",0,0,"0","Entry-level","Never-married","Underemployed","HS-some-college","No"
"182","<=50K",30,"Never-married",45,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"184",">50K",37,"Married-civ-spouse",42,"Some-college",0,0,"1","Growth-phase","Married","Full-time","HS-some-college","No"
"186","<=50K",41,"Divorced",40,"Bachelors",0,0,"0","Growth-phase","Previously-married","Full-time","Bachelors","No"
"198",">50K",35,"Married-civ-spouse",40,"Masters",7298,0,"1","Growth-phase","Married","Full-time","Masters","Yes"
"201","<=50K",19,"Never-married",40,"HS-grad",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"202",">50K",51,"Married-civ-spouse",50,"Bachelors",0,0,"1","Peak-earning","Married","Overtime","Bachelors","No"
"207","<=50K",35,"Divorced",60,"HS-grad",0,0,"0","Growth-phase","Previously-married","Overtime","HS-some-college","No"
"217","<=50K",38,"Married-civ-spouse",50,"Bachelors",0,0,"0","Growth-phase","Married","Overtime","Bachelors","No"
"220","<=50K",31,"Married-civ-spouse",40,"Some-college",0,0,"0","Growth-phase","Married","Full-time","HS-some-college","No"
"221","<=50K",64,"Divorced",40,"1st-4th",0,0,"0","Retirement-transition","Previously-married","Full-time","Non-HS","No"
"222","<=50K",90,"Never-married",40,"HS-grad",0,2206,"0","Retirement-transition","Never-married","Full-time","HS-some-college","Yes"
"223","<=50K",54,"Married-civ-spouse",20,"HS-grad",0,0,"0","Peak-earning","Married","Underemployed","HS-some-college","No"
"227","<=50K",66,"Married-civ-spouse",50,"HS-grad",1409,0,"0","Retirement-transition","Married","Overtime","HS-some-college","Yes"
"229","<=50K",65,"Divorced",40,"HS-grad",0,0,"0","Retirement-transition","Previously-married","Full-time","HS-some-college","No"
"230","<=50K",35,"Separated",40,"11th",3674,0,"0","Growth-phase","Previously-married","Full-time","Non-HS","Yes"
"232","<=50K",25,"Never-married",42,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"235","<=50K",59,"Married-civ-spouse",40,"HS-grad",0,0,"0","Peak-earning","Married","Full-time","HS-some-college","No"
"250",">50K",41,"Married-civ-spouse",40,"Prof-school",0,0,"1","Growth-phase","Married","Full-time","Prof-doctorate","No"
"268","<=50K",33,"Never-married",45,"Bachelors",0,0,"0","Growth-phase","Never-married","Full-time","Bachelors","No"
"270",">50K",61,"Married-civ-spouse",40,"HS-grad",0,0,"1","Retirement-transition","Married","Full-time","HS-some-college","No"
"273","<=50K",27,"Never-married",35,"Masters",0,0,"0","Entry-level","Never-married","Full-time","Masters","No"
"286",">50K",41,"Married-civ-spouse",60,"Prof-school",0,0,"1","Growth-phase","Married","Overtime","Prof-doctorate","No"
"289","<=50K",50,"Married-civ-spouse",40,"7th-8th",0,0,"0","Peak-earning","Married","Full-time","Non-HS","No"
"293","<=50K",21,"Never-married",45,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"297","<=50K",39,"Married-civ-spouse",40,"Masters",3464,0,"0","Growth-phase","Married","Full-time","Masters","Yes"
"309",">50K",41,"Married-civ-spouse",54,"Some-college",0,0,"1","Growth-phase","Married","Overtime","HS-some-college","No"
"310","<=50K",26,"Never-married",40,"Bachelors",0,0,"0","Entry-level","Never-married","Full-time","Bachelors","No"
"316","<=50K",77,"Married-civ-spouse",40,"Some-college",0,0,"0","Retirement-transition","Married","Full-time","HS-some-college","No"
"317","<=50K",22,"Married-civ-spouse",40,"5th-6th",0,0,"0","Entry-level","Married","Full-time","Non-HS","No"
"324","<=50K",76,"Married-civ-spouse",10,"Masters",0,0,"0","Retirement-transition","Married","Underemployed","Masters","No"
"327",">50K",43,"Married-civ-spouse",50,"Some-college",0,1887,"1","Growth-phase","Married","Overtime","HS-some-college","Yes"
"332","<=50K",47,"Never-married",40,"Assoc-voc",0,0,"0","Peak-earning","Never-married","Full-time","HS-some-college","No"
"333","<=50K",55,"Married-civ-spouse",40,"10th",0,0,"0","Peak-earning","Married","Full-time","Non-HS","No"
"341",">50K",38,"Married-civ-spouse",40,"Assoc-voc",7298,0,"1","Growth-phase","Married","Full-time","HS-some-college","Yes"
"342",">50K",36,"Married-civ-spouse",40,"HS-grad",7298,0,"1","Growth-phase","Married","Full-time","HS-some-college","Yes"
"343","<=50K",33,"Never-married",20,"HS-grad",0,0,"0","Growth-phase","Never-married","Underemployed","HS-some-college","No"
"346","<=50K",67,"Married-civ-spouse",8,"11th",0,0,"0","Retirement-transition","Married","Underemployed","Non-HS","No"
"350",">50K",33,"Married-civ-spouse",40,"Bachelors",0,0,"1","Growth-phase","Married","Full-time","Bachelors","No"
"368",">50K",57,"Divorced",45,"Bachelors",0,0,"1","Peak-earning","Previously-married","Full-time","Bachelors","No"
"372",">50K",40,"Married-civ-spouse",38,"Assoc-voc",0,0,"1","Growth-phase","Married","Full-time","HS-some-college","No"
"382","<=50K",25,"Married-civ-spouse",40,"Some-college",0,0,"0","Entry-level","Married","Full-time","HS-some-college","No"
"383","<=50K",46,"Divorced",40,"Some-college",0,0,"0","Peak-earning","Previously-married","Full-time","HS-some-college","No"
"386","<=50K",29,"Separated",40,"HS-grad",0,0,"0","Entry-level","Previously-married","Full-time","HS-some-college","No"
"389","<=50K",19,"Never-married",40,"HS-grad",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"393",">50K",34,"Married-civ-spouse",45,"Bachelors",7688,0,"1","Growth-phase","Married","Full-time","Bachelors","Yes"
"407","<=50K",46,"Married-civ-spouse",25,"HS-grad",0,0,"0","Peak-earning","Married","Underemployed","HS-some-college","No"
"408",">50K",28,"Married-civ-spouse",40,"Some-college",0,1887,"1","Entry-level","Married","Full-time","HS-some-college","Yes"
"416","<=50K",52,"Married-civ-spouse",40,"1st-4th",0,0,"0","Peak-earning","Married","Full-time","Non-HS","No"
"420","<=50K",20,"Married-civ-spouse",30,"Some-college",0,0,"0","Entry-level","Married","Full-time","HS-some-college","No"
"421","<=50K",17,"Never-married",18,"11th",2176,0,"0","Entry-level","Never-married","Underemployed","Non-HS","Yes"
"439","<=50K",42,"Married-civ-spouse",40,"Some-college",0,0,"0","Growth-phase","Married","Full-time","HS-some-college","No"
"440","<=50K",29,"Never-married",40,"Bachelors",0,0,"0","Entry-level","Never-married","Full-time","Bachelors","No"
"454",">50K",44,"Married-civ-spouse",40,"HS-grad",0,0,"1","Growth-phase","Married","Full-time","HS-some-college","No"
"462","<=50K",32,"Married-civ-spouse",50,"Bachelors",0,0,"0","Growth-phase","Married","Overtime","Bachelors","No"
"480","<=50K",33,"Married-civ-spouse",45,"Assoc-acdm",0,0,"0","Growth-phase","Married","Full-time","HS-some-college","No"
"485","<=50K",25,"Married-spouse-absent",20,"Some-college",0,0,"0","Entry-level","Previously-married","Underemployed","HS-some-college","No"
"492","<=50K",35,"Never-married",60,"Assoc-acdm",0,0,"0","Growth-phase","Never-married","Overtime","HS-some-college","No"
"493","<=50K",34,"Divorced",25,"HS-grad",0,0,"0","Growth-phase","Previously-married","Underemployed","HS-some-college","No"
"496","<=50K",20,"Never-married",40,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"500","<=50K",23,"Never-married",40,"HS-grad",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"508","<=50K",47,"Separated",40,"HS-grad",0,0,"0","Peak-earning","Previously-married","Full-time","HS-some-college","No"
"514","<=50K",28,"Divorced",45,"HS-grad",0,0,"0","Entry-level","Previously-married","Full-time","HS-some-college","No"
"527","<=50K",74,"Divorced",9,"Some-college",0,0,"0","Retirement-transition","Previously-married","Underemployed","HS-some-college","No"
"528","<=50K",38,"Married-civ-spouse",50,"HS-grad",0,0,"0","Growth-phase","Married","Overtime","HS-some-college","No"
"531","<=50K",26,"Never-married",40,"HS-grad",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"537","<=50K",29,"Separated",40,"Assoc-voc",0,0,"0","Entry-level","Previously-married","Full-time","HS-some-college","No"
"538","<=50K",31,"Never-married",45,"Bachelors",0,0,"0","Growth-phase","Never-married","Full-time","Bachelors","No"
"548","<=50K",21,"Never-married",36,"HS-grad",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"554",">50K",33,"Divorced",40,"Assoc-voc",0,0,"1","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"556","<=50K",35,"Married-civ-spouse",40,"HS-grad",0,0,"0","Growth-phase","Married","Full-time","HS-some-college","No"
"560","<=50K",28,"Never-married",55,"Bachelors",0,0,"0","Entry-level","Never-married","Overtime","Bachelors","No"
"561",">50K",54,"Married-civ-spouse",35,"Bachelors",0,0,"1","Peak-earning","Married","Full-time","Bachelors","No"
"565","<=50K",20,"Never-married",48,"HS-grad",0,0,"0","Entry-level","Never-married","Overtime","HS-some-college","No"
"567","<=50K",45,"Separated",40,"7th-8th",0,0,"0","Peak-earning","Previously-married","Full-time","Non-HS","No"
"569","<=50K",47,"Divorced",42,"Masters",0,0,"0","Peak-earning","Previously-married","Full-time","Masters","No"
"577","<=50K",36,"Divorced",35,"Assoc-acdm",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"578","<=50K",58,"Never-married",40,"Bachelors",0,0,"0","Peak-earning","Never-married","Full-time","Bachelors","No"
"589","<=50K",57,"Divorced",80,"Bachelors",0,0,"0","Peak-earning","Previously-married","Overtime","Bachelors","No"
"595","<=50K",27,"Never-married",40,"HS-grad",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"602","<=50K",60,"Divorced",40,"7th-8th",0,0,"0","Peak-earning","Previously-married","Full-time","Non-HS","No"
"623","<=50K",29,"Married-civ-spouse",55,"Assoc-voc",0,0,"0","Entry-level","Married","Overtime","HS-some-college","No"
"624","<=50K",47,"Married-spouse-absent",40,"9th",0,0,"0","Peak-earning","Previously-married","Full-time","Non-HS","No"
"633",">50K",30,"Married-civ-spouse",40,"Bachelors",0,0,"1","Entry-level","Married","Full-time","Bachelors","No"
"637",">50K",33,"Married-civ-spouse",60,"Bachelors",15024,0,"1","Growth-phase","Married","Overtime","Bachelors","Yes"
"644","<=50K",31,"Married-civ-spouse",45,"Some-college",0,0,"0","Growth-phase","Married","Full-time","HS-some-college","No"
"651","<=50K",24,"Never-married",50,"HS-grad",4101,0,"0","Entry-level","Never-married","Overtime","HS-some-college","Yes"
"655","<=50K",29,"Never-married",40,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"658","<=50K",44,"Married-civ-spouse",35,"7th-8th",0,0,"0","Growth-phase","Married","Full-time","Non-HS","No"
"667",">50K",42,"Married-civ-spouse",40,"HS-grad",0,0,"1","Growth-phase","Married","Full-time","HS-some-college","No"
"673",">50K",33,"Married-civ-spouse",40,"Bachelors",0,0,"1","Growth-phase","Married","Full-time","Bachelors","No"
"675","<=50K",22,"Never-married",40,"HS-grad",2597,0,"0","Entry-level","Never-married","Full-time","HS-some-college","Yes"
"682",">50K",34,"Married-civ-spouse",40,"HS-grad",0,0,"1","Growth-phase","Married","Full-time","HS-some-college","No"
"684","<=50K",18,"Never-married",5,"11th",0,0,"0","Entry-level","Never-married","Underemployed","Non-HS","No"
"705",">50K",44,"Divorced",50,"Bachelors",0,0,"1","Growth-phase","Previously-married","Overtime","Bachelors","No"
"707","<=50K",45,"Never-married",40,"Some-college",0,0,"0","Peak-earning","Never-married","Full-time","HS-some-college","No"
"711","<=50K",36,"Divorced",40,"Some-college",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"727","<=50K",20,"Never-married",20,"Some-college",0,0,"0","Entry-level","Never-married","Underemployed","HS-some-college","No"
"728","<=50K",31,"Married-civ-spouse",40,"HS-grad",0,0,"0","Growth-phase","Married","Full-time","HS-some-college","No"
"730","<=50K",23,"Never-married",24,"Some-college",0,0,"0","Entry-level","Never-married","Underemployed","HS-some-college","No"
"732","<=50K",26,"Married-civ-spouse",45,"Assoc-voc",0,2377,"0","Entry-level","Married","Full-time","HS-some-college","Yes"
"735","<=50K",35,"Married-civ-spouse",40,"Some-college",2407,0,"0","Growth-phase","Married","Full-time","HS-some-college","Yes"
"742",">50K",42,"Never-married",50,"Masters",14084,0,"1","Growth-phase","Never-married","Overtime","Masters","Yes"
"747","<=50K",32,"Never-married",40,"Some-college",0,0,"0","Growth-phase","Never-married","Full-time","HS-some-college","No"
"748","<=50K",29,"Never-married",40,"11th",0,0,"0","Entry-level","Never-married","Full-time","Non-HS","No"
"756",">50K",54,"Married-civ-spouse",40,"HS-grad",0,0,"1","Peak-earning","Married","Full-time","HS-some-college","No"
"764",">50K",51,"Never-married",55,"Bachelors",0,0,"1","Peak-earning","Never-married","Overtime","Bachelors","No"
"781","<=50K",28,"Never-married",42,"Assoc-voc",0,1669,"0","Entry-level","Never-married","Full-time","HS-some-college","Yes"
"783","<=50K",41,"Married-civ-spouse",60,"Some-college",0,0,"0","Growth-phase","Married","Overtime","HS-some-college","No"
"789","<=50K",21,"Never-married",40,"HS-grad",1055,0,"0","Entry-level","Never-married","Full-time","HS-some-college","Yes"
"790",">50K",48,"Married-civ-spouse",50,"Assoc-voc",0,0,"1","Peak-earning","Married","Overtime","HS-some-college","No"
"794",">50K",60,"Married-civ-spouse",60,"HS-grad",0,0,"1","Peak-earning","Married","Overtime","HS-some-college","No"
"796","<=50K",61,"Married-civ-spouse",40,"HS-grad",0,0,"0","Retirement-transition","Married","Full-time","HS-some-college","No"
"797","<=50K",25,"Never-married",40,"HS-grad",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"806","<=50K",50,"Married-spouse-absent",40,"Masters",0,0,"0","Peak-earning","Previously-married","Full-time","Masters","No"
"811","<=50K",22,"Never-married",40,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"812","<=50K",43,"Divorced",45,"Some-college",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"814","<=50K",17,"Never-married",20,"10th",0,0,"0","Entry-level","Never-married","Underemployed","Non-HS","No"
"818","<=50K",64,"Married-civ-spouse",45,"HS-grad",0,0,"0","Retirement-transition","Married","Full-time","HS-some-college","No"
"820","<=50K",48,"Never-married",40,"Assoc-voc",0,0,"0","Peak-earning","Never-married","Full-time","HS-some-college","No"
"823","<=50K",30,"Widowed",40,"HS-grad",0,0,"0","Entry-level","Previously-married","Full-time","HS-some-college","No"
"828","<=50K",43,"Never-married",25,"Some-college",0,0,"0","Growth-phase","Never-married","Underemployed","HS-some-college","No"
"829","<=50K",24,"Never-married",40,"Bachelors",0,0,"0","Entry-level","Never-married","Full-time","Bachelors","No"
"830","<=50K",42,"Married-civ-spouse",15,"11th",0,0,"0","Growth-phase","Married","Underemployed","Non-HS","No"
"831",">50K",53,"Married-civ-spouse",40,"Some-college",4386,0,"1","Peak-earning","Married","Full-time","HS-some-college","Yes"
"832","<=50K",26,"Never-married",40,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"834","<=50K",72,"Widowed",24,"11th",0,0,"0","Retirement-transition","Previously-married","Underemployed","Non-HS","No"
"844",">50K",55,"Married-civ-spouse",40,"HS-grad",4386,0,"1","Peak-earning","Married","Full-time","HS-some-college","Yes"
"846","<=50K",40,"Divorced",50,"HS-grad",0,0,"0","Growth-phase","Previously-married","Overtime","HS-some-college","No"
"848","<=50K",39,"Married-civ-spouse",40,"Bachelors",0,0,"0","Growth-phase","Married","Full-time","Bachelors","No"
"851","<=50K",26,"Divorced",55,"Assoc-voc",0,0,"0","Entry-level","Previously-married","Overtime","HS-some-college","No"
"857",">50K",59,"Married-civ-spouse",40,"HS-grad",0,0,"1","Peak-earning","Married","Full-time","HS-some-college","No"
"874","<=50K",55,"Divorced",25,"5th-6th",0,0,"0","Peak-earning","Previously-married","Underemployed","Non-HS","No"
"878",">50K",39,"Married-civ-spouse",40,"HS-grad",0,0,"1","Growth-phase","Married","Full-time","HS-some-college","No"
"879","<=50K",19,"Never-married",30,"HS-grad",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"885","<=50K",63,"Married-civ-spouse",15,"Some-college",0,0,"0","Retirement-transition","Married","Underemployed","HS-some-college","No"
"910","<=50K",27,"Never-married",30,"HS-grad",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"918","<=50K",81,"Married-civ-spouse",30,"HS-grad",0,0,"0","Retirement-transition","Married","Full-time","HS-some-college","No"
"919","<=50K",21,"Never-married",20,"Some-college",0,0,"0","Entry-level","Never-married","Underemployed","HS-some-college","No"
"920","<=50K",23,"Never-married",25,"Some-college",0,0,"0","Entry-level","Never-married","Underemployed","HS-some-college","No"
"927",">50K",51,"Married-civ-spouse",60,"Masters",0,0,"1","Peak-earning","Married","Overtime","Masters","No"
"931","<=50K",19,"Never-married",10,"Some-college",0,0,"0","Entry-level","Never-married","Underemployed","HS-some-college","No"
"941","<=50K",35,"Married-civ-spouse",40,"HS-grad",0,0,"0","Growth-phase","Married","Full-time","HS-some-college","No"
"950",">50K",44,"Married-civ-spouse",40,"HS-grad",0,0,"1","Growth-phase","Married","Full-time","HS-some-college","No"
"955","<=50K",41,"Married-civ-spouse",30,"10th",0,0,"0","Growth-phase","Married","Full-time","Non-HS","No"
"958",">50K",33,"Married-civ-spouse",40,"Bachelors",0,0,"1","Growth-phase","Married","Full-time","Bachelors","No"
"961","<=50K",32,"Divorced",38,"HS-grad",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"962","<=50K",32,"Married-civ-spouse",70,"Bachelors",0,0,"0","Growth-phase","Married","Overtime","Bachelors","No"
"963","<=50K",36,"Divorced",40,"10th",0,0,"0","Growth-phase","Previously-married","Full-time","Non-HS","No"
"970",">50K",34,"Married-civ-spouse",35,"HS-grad",0,0,"1","Growth-phase","Married","Full-time","HS-some-college","No"
"978","<=50K",78,"Widowed",40,"HS-grad",2964,0,"0","Retirement-transition","Previously-married","Full-time","HS-some-college","Yes"
"984",">50K",45,"Widowed",40,"HS-grad",0,0,"1","Peak-earning","Previously-married","Full-time","HS-some-college","No"
"985","<=50K",63,"Divorced",20,"Assoc-voc",0,0,"0","Retirement-transition","Previously-married","Underemployed","HS-some-college","No"
"988","<=50K",44,"Divorced",40,"HS-grad",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"989","<=50K",51,"Widowed",40,"Some-college",3325,0,"0","Peak-earning","Previously-married","Full-time","HS-some-college","Yes"
"991","<=50K",41,"Married-civ-spouse",40,"Assoc-voc",0,0,"0","Growth-phase","Married","Full-time","HS-some-college","No"
"994","<=50K",35,"Never-married",45,"HS-grad",0,0,"0","Growth-phase","Never-married","Full-time","HS-some-college","No"
"997",">50K",48,"Divorced",58,"Bachelors",0,0,"1","Peak-earning","Previously-married","Overtime","Bachelors","No"
"998","<=50K",40,"Married-civ-spouse",40,"Some-college",2580,0,"0","Growth-phase","Married","Full-time","HS-some-college","Yes"
"1002",">50K",38,"Married-civ-spouse",40,"HS-grad",0,0,"1","Growth-phase","Married","Full-time","HS-some-college","No"
"1008",">50K",54,"Married-civ-spouse",52,"HS-grad",15024,0,"1","Peak-earning","Married","Overtime","HS-some-college","Yes"
"1009","<=50K",26,"Married-civ-spouse",50,"Some-college",0,0,"0","Entry-level","Married","Overtime","HS-some-college","No"
"1011","<=50K",34,"Never-married",40,"Assoc-voc",0,0,"0","Growth-phase","Never-married","Full-time","HS-some-college","No"
"1014","<=50K",38,"Married-civ-spouse",25,"Masters",0,0,"0","Growth-phase","Married","Underemployed","Masters","No"
"1015","<=50K",48,"Married-civ-spouse",40,"7th-8th",0,0,"0","Peak-earning","Married","Full-time","Non-HS","No"
"1017","<=50K",51,"Widowed",32,"HS-grad",0,0,"0","Peak-earning","Previously-married","Full-time","HS-some-college","No"
"1018","<=50K",22,"Divorced",40,"HS-grad",0,0,"0","Entry-level","Previously-married","Full-time","HS-some-college","No"
"1020","<=50K",41,"Never-married",50,"Some-college",0,0,"0","Growth-phase","Never-married","Overtime","HS-some-college","No"
"1035","<=50K",19,"Never-married",40,"HS-grad",0,2001,"0","Entry-level","Never-married","Full-time","HS-some-college","Yes"
"1037","<=50K",37,"Never-married",75,"HS-grad",0,0,"0","Growth-phase","Never-married","Overtime","HS-some-college","No"
"1038","<=50K",34,"Divorced",30,"HS-grad",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"1041","<=50K",23,"Never-married",40,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"1043",">50K",44,"Married-civ-spouse",60,"Bachelors",7688,0,"1","Growth-phase","Married","Overtime","Bachelors","Yes"
"1047","<=50K",23,"Married-civ-spouse",40,"Some-college",0,0,"0","Entry-level","Married","Full-time","HS-some-college","No"
"1051",">50K",53,"Married-civ-spouse",40,"Bachelors",0,0,"1","Peak-earning","Married","Full-time","Bachelors","No"
"1058",">50K",49,"Married-civ-spouse",40,"Masters",0,1902,"1","Peak-earning","Married","Full-time","Masters","Yes"
"1062","<=50K",54,"Married-civ-spouse",32,"HS-grad",0,0,"0","Peak-earning","Married","Full-time","HS-some-college","No"
"1063","<=50K",34,"Separated",40,"Assoc-acdm",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"1066",">50K",35,"Married-civ-spouse",80,"Prof-school",0,1977,"1","Growth-phase","Married","Overtime","Prof-doctorate","Yes"
"1071",">50K",38,"Married-civ-spouse",40,"HS-grad",0,1902,"1","Growth-phase","Married","Full-time","HS-some-college","Yes"
"1079",">50K",43,"Married-civ-spouse",40,"Assoc-voc",0,0,"1","Growth-phase","Married","Full-time","HS-some-college","No"
"1084","<=50K",31,"Married-civ-spouse",40,"Some-college",0,0,"0","Growth-phase","Married","Full-time","HS-some-college","No"
"1088",">50K",42,"Married-civ-spouse",52,"Some-college",7298,0,"1","Growth-phase","Married","Overtime","HS-some-college","Yes"
"1089","<=50K",38,"Divorced",28,"HS-grad",0,0,"0","Growth-phase","Previously-married","Underemployed","HS-some-college","No"
"1091",">50K",44,"Never-married",50,"Bachelors",0,0,"1","Growth-phase","Never-married","Overtime","Bachelors","No"
"1094","<=50K",21,"Never-married",40,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"1104",">50K",34,"Married-civ-spouse",25,"Assoc-acdm",0,0,"1","Growth-phase","Married","Underemployed","HS-some-college","No"
"1107","<=50K",29,"Never-married",25,"HS-grad",0,0,"0","Entry-level","Never-married","Underemployed","HS-some-college","No"
"1114","<=50K",34,"Divorced",40,"HS-grad",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"1123","<=50K",36,"Married-civ-spouse",40,"Bachelors",0,0,"0","Growth-phase","Married","Full-time","Bachelors","No"
"1126",">50K",35,"Married-civ-spouse",50,"HS-grad",0,0,"1","Growth-phase","Married","Overtime","HS-some-college","No"
"1128","<=50K",41,"Divorced",45,"Some-college",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"1130","<=50K",30,"Never-married",40,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"1135",">50K",31,"Married-civ-spouse",50,"Some-college",0,0,"1","Growth-phase","Married","Overtime","HS-some-college","No"
"1140","<=50K",19,"Never-married",20,"Some-college",0,0,"0","Entry-level","Never-married","Underemployed","HS-some-college","No"
"1142","<=50K",59,"Widowed",40,"HS-grad",0,0,"0","Peak-earning","Previously-married","Full-time","HS-some-college","No"
